City Name,Latitude,Temperature,Humidity,Cloudiness,Windspeed
aquiraz,-3.9,77.0,94,75,3.36
broken hill,-31.97,57.67,66,0,14.25
alandi,18.68,70.72,99,92,6.64
zhigansk,66.77,70.27,78,32,5.08
araouane,18.9,84.22,34,12,10.11
acapulco,16.86,84.2,79,90,8.05
new norfolk,-42.78,44.6,70,75,21.92
najran,17.54,84.2,32,5,6.93
jamestown,-33.21,53.98,71,8,13.35
suoyarvi,62.08,58.66,83,8,6.53
kaitangata,-46.28,45.25,96,92,6.76
castro,-42.48,34.36,95,0,1.95
kavaratti,10.57,80.62,100,88,21.3
ushuaia,-54.81,32.0,100,20,5.82
kiruna,67.86,46.4,75,48,4.7
cape town,-33.93,46.4,75,0,1.12
narsaq,60.91,51.8,43,75,26.4
harper,30.3,79.14,73,1,8.21
kendari,-3.99,78.37,95,100,4.07
port alfred,-33.59,55.42,100,0,3.62
bambous virieux,-20.34,69.8,83,75,8.05
saint george,39.45,69.8,94,40,2.62
hobart,-42.88,44.6,70,75,21.92
butaritari,3.07,83.32,100,20,7.87
indianola,40.24,82.4,54,1,11.41
avarua,-21.21,71.6,73,75,4.7
ancud,-41.87,35.35,83,0,2.39
rikitea,-23.12,75.22,100,68,13.35
cairns,-16.92,73.4,69,75,14.99
port blair,11.67,82.06,100,48,22.3
kauhajoki,62.43,53.6,87,0,9.17
hermanus,-34.42,37.69,77,0,2.51
hilo,19.71,72.84,69,75,12.75
santa isabel,4.71,73.4,83,75,3.36
yellowknife,62.45,57.2,54,75,11.41
mataura,-46.19,48.58,84,88,9.89
barrow,-38.31,42.01,92,92,5.64
waipawa,-39.94,62.62,52,76,18.5
kirundo,-2.59,59.0,72,20,5.82
tiksi,71.64,48.49,93,64,7.87
norfolk,36.85,71.46,83,90,26.4
matara,-13.74,32.83,85,0,1.72
tasiilaq,65.61,42.8,81,88,8.05
clyde river,70.47,46.4,70,1,6.93
touros,-5.2,74.23,97,64,11.45
tecoanapa,16.99,84.2,79,90,8.05
dingle,11.0,84.76,69,92,11.01
ribeira grande,38.52,69.8,83,75,12.75
bluff,-23.58,63.52,36,0,13.13
bethel,60.79,55.4,93,90,18.34
hithadhoo,-0.6,77.83,100,56,9.22
nikolskoye,59.7,59.0,93,40,6.71
khatanga,71.98,53.98,77,20,7.09
sao joao da barra,-21.64,75.49,94,0,22.08
torbay,47.66,51.8,76,5,18.34
mahebourg,-20.41,69.8,83,75,8.05
albany,42.65,65.64,56,20,2.39
comodoro rivadavia,-45.87,41.0,100,0,8.05
georgetown,6.8,77.0,100,20,2.24
liuzhou,24.32,74.95,100,92,4.29
tuatapere,-46.13,50.29,98,76,10.45
zheleznodorozhnyy,55.75,59.0,87,0,4.47
fare,-16.7,80.26,100,36,10.45
kotdwara,29.75,78.55,90,48,2.51
fairbanks,64.84,78.17,34,1,6.93
haines junction,60.75,65.23,39,0,3.4
cap malheureux,-19.98,69.8,83,75,8.05
mar del plata,-46.43,22.66,100,0,6.31
busselton,-33.64,58.84,100,0,13.69
saskylakh,71.97,41.92,89,76,8.21
kodiak,39.95,80.6,51,1,5.82
hamilton,43.26,70.16,52,20,3.36
pevek,69.7,39.4,84,20,17.27
naze,5.43,73.15,97,88,3.18
henties bay,-22.12,68.92,56,88,8.99
komsomolskiy,67.55,58.03,65,24,17.27
verkh-usugli,52.7,59.38,100,88,3.62
vaini,15.34,68.92,99,92,6.64
nanortalik,60.14,38.41,91,92,28.9
punta arenas,-53.16,35.6,100,75,6.93
morant bay,17.88,86.0,66,20,19.46
ust-nera,64.57,80.53,30,36,2.62
tilichiki,60.47,68.56,64,0,11.68
kathu,-27.7,31.93,67,0,3.4
shakawe,-18.36,57.31,79,68,10.0
sibolga,1.74,75.76,93,32,1.95
lumeje,-11.56,54.61,69,0,8.43
ponta do sol,-20.63,52.36,77,0,2.84
bakchar,57.02,65.23,62,0,4.74
saint-philippe,45.36,71.01,44,1,8.05
ixtapa,20.71,86.0,89,75,11.41
lamu,0.57,77.92,93,88,4.41
perene,-10.95,66.4,95,32,1.95
timaru,-44.39,48.31,82,36,7.43
walvis bay,-22.95,80.6,24,92,17.22
husavik,50.56,78.55,56,0,17.16
sola,58.89,51.8,87,0,6.93
lebu,8.96,42.73,90,64,2.62
kysyl-syr,63.9,85.93,39,0,3.96
havre-saint-pierre,50.23,50.0,81,40,8.05
kapaa,22.08,84.38,74,40,17.22
nome,30.04,76.14,94,40,7.09
lhokseumawe,5.18,83.05,100,0,3.29
tautira,-17.73,84.2,66,75,11.41
lubumbashi,-11.66,53.08,83,0,9.78
kirakira,-10.46,81.43,100,44,17.72
provideniya,64.42,48.13,94,32,12.8
leningradskiy,69.38,31.66,100,12,18.05
luba,17.32,78.46,92,92,3.74
bubaque,11.28,78.8,94,40,15.37
iqaluit,63.75,44.6,70,20,3.36
jacareacanga,-6.22,76.48,82,12,1.95
saulkrasti,57.26,59.0,82,0,8.05
vardo,39.62,67.69,46,1,5.82
thompson,55.74,80.6,42,40,11.41
cheremukhovo,56.23,64.06,92,48,4.07
werda,50.44,55.78,76,0,1.12
letterkenny,54.95,59.38,95,64,9.66
magnitka,55.34,63.25,100,92,1.39
aracuai,-16.85,58.12,90,0,5.08
denpasar,-8.65,78.8,83,75,14.99
gat,14.69,76.12,89,32,5.3
victoria,5.28,84.51,88,75,3.36
vanimo,-2.67,81.43,100,88,8.43
tessalit,20.2,70.63,17,0,5.75
strezhevoy,60.73,64.4,63,0,8.95
kavieng,-2.57,84.22,100,48,6.2
fort nelson,58.81,68.0,34,75,8.05
puerto ayora,-0.74,72.43,100,0,10.45
beaupre,47.04,67.08,68,20,4.7
saldanha,41.42,57.22,90,0,3.62
mollendo,-17.03,51.55,96,12,1.39
xixiang,22.58,87.67,66,20,13.87
souillac,45.6,68.0,72,0,3.36
bonavista,48.65,52.45,72,0,14.92
college,64.86,78.17,34,1,6.93
astaneh-ye ashrafiyeh,37.26,75.2,94,90,4.7
mahajanga,-15.72,69.8,64,20,4.7
beohari,24.05,84.4,76,0,9.44
pitimbu,-7.47,73.4,88,75,3.36
sorong,-0.86,80.8,100,44,10.78
esperance,10.24,78.8,78,20,3.36
cidreira,-30.17,62.71,91,12,17.83
biak,-0.91,76.3,100,92,6.53
qaqortoq,60.72,51.8,43,75,26.4
severnoye,54.09,68.11,67,8,4.07
kabanjahe,3.1,78.8,88,40,5.82
portland,45.52,78.57,39,20,4.7
herat,34.35,78.8,31,0,6.2
upernavik,72.79,34.0,100,24,14.25
lavrentiya,65.58,49.3,90,8,1.05
east london,-33.02,64.87,100,0,9.66
padang,-0.92,80.35,100,12,5.97
lata,30.78,66.67,94,12,1.05
isangel,-19.55,75.94,95,64,13.69
ribas do rio pardo,-20.45,62.8,61,8,3.18
ahipara,-35.17,61.72,87,76,29.12
luderitz,-26.65,66.85,56,12,19.51
port elizabeth,39.31,65.52,72,1,5.82
taltal,-25.41,49.03,85,76,2.17
rocha,-34.48,51.37,96,92,16.04
porto seguro,-16.44,71.6,94,75,5.82
tuktoyaktuk,69.44,48.2,81,75,13.87
camacha,33.08,70.83,88,40,11.41
noumea,-22.28,71.6,64,90,6.93
mandalgovi,45.76,65.05,50,32,5.19
myingyan,21.46,82.4,83,75,9.17
hambantota,6.12,76.03,100,92,17.72
plaeng yao,13.58,84.2,66,20,4.7
cockburn town,21.46,81.25,100,48,19.51
lompoc,34.64,75.72,28,1,11.41
broome,52.47,56.53,93,0,1.12
saint-joseph,43.56,69.13,82,0,2.24
port macquarie,-31.43,62.6,70,0,11.41
mareeba,-16.99,73.4,69,75,14.99
makakilo city,21.35,80.2,65,75,10.29
te anau,-45.41,44.62,93,80,4.63
acari,-6.44,69.19,84,8,9.89
bredasdorp,-34.53,42.8,81,0,4.7
hay river,60.82,57.2,58,90,5.82
tondano,1.3,93.2,49,20,2.24
mizdah,31.45,66.49,50,0,0.83
caravelas,-17.73,75.94,100,8,10.22
bealanana,-14.54,62.44,74,12,9.33
chokurdakh,70.62,54.88,78,92,13.35
ust-kulom,61.69,69.01,70,88,2.62
ponnani,10.77,75.2,83,90,4.7
dikson,73.51,43.0,85,68,19.51
visnes,59.36,51.8,100,8,10.29
durant,33.99,83.79,58,1,3.36
saryozek,44.36,82.87,22,0,4.18
ponta delgada,37.73,69.8,88,20,3.36
pontes e lacerda,-15.23,66.49,77,20,4.63
pemba,-12.97,69.8,88,20,10.29
xichang,27.88,64.06,91,48,1.72
hasaki,35.73,86.88,70,75,10.29
longyearbyen,78.22,46.4,75,75,14.99
buenos aires,-34.61,51.19,87,90,9.17
cherskiy,68.75,53.62,38,44,9.33
praia,-20.25,60.1,82,0,3.18
warragul,-38.16,52.18,85,92,11.01
conceicao do araguaia,-8.26,86.92,39,100,7.99
anadyr,64.73,60.8,67,0,4.47
atocha,-1.22,50.0,87,20,14.99
grindavik,63.84,46.76,93,40,10.29
goderich,43.74,64.6,68,0,3.96
arraial do cabo,-22.97,71.17,87,0,16.82
shagonar,51.54,61.18,48,0,3.18
medak,18.05,73.4,100,90,9.17
marawi,8.0,83.86,62,12,3.18
bagaha,27.1,80.8,97,92,7.31
belen,36.49,77.0,78,0,14.99
poplar bluff,36.76,77.97,73,1,8.05
middlebury,44.01,66.16,53,20,4.7
soyo,-6.13,71.08,97,80,5.19
kilindoni,-7.91,78.19,93,56,16.04
willowmore,-33.3,25.18,65,0,2.17
katsuura,33.93,77.0,94,75,3.36
atuona,-9.8,79.18,100,64,17.49
vila velha,-3.71,77.0,94,75,3.36
buraydah,26.33,93.2,23,0,10.29
norman wells,65.28,60.8,67,90,3.36
zonguldak,41.25,64.78,95,0,0.72
batticaloa,7.71,83.86,91,56,18.61
rocky mountain house,52.38,63.25,43,64,5.08
zuwarah,32.93,70.9,100,0,1.05
kalmunai,7.42,83.32,74,80,4.52
nemuro,43.32,57.2,82,75,10.29
falam,22.91,72.25,93,88,1.95
constitucion,23.99,68.0,52,90,9.17
hammerfest,70.66,48.2,93,64,2.73
monticello,45.31,81.1,57,1,6.93
zhangjiakou,40.77,70.9,87,24,3.74
general elizardo aquino,-24.45,66.4,79,44,10.11
lianzhou,24.79,77.29,89,88,2.95
araguaina,-7.19,79.36,54,0,6.2
zykovo,55.24,61.81,94,88,4.74
tezu,27.93,72.52,94,76,0.6
sao jose da coroa grande,-8.9,72.7,96,92,5.64
suntar,62.16,61.09,98,92,7.09
feicheng,36.18,76.3,92,88,7.99
viedma,-40.81,43.72,96,80,4.41
adoni,15.63,73.15,90,92,14.58
bonthe,7.53,74.68,100,92,2.73
aklavik,68.22,71.6,46,40,3.36
leh,34.16,31.66,100,68,1.72
maragogi,-9.01,72.7,96,92,5.64
orebro,59.27,51.8,87,0,5.82
tiznit,29.7,67.3,97,0,1.16
tucumcari,35.17,80.6,42,1,9.17
abu samrah,35.3,66.4,72,0,7.2
qaanaaq,77.48,32.56,96,88,3.96
cabo san lucas,22.89,86.18,54,20,6.93
carnarvon,-30.97,26.35,65,0,5.41
krasnoborsk,61.56,65.32,83,64,3.85
spornoye,50.84,60.8,77,0,6.71
zhezkazgan,47.8,75.2,50,0,6.71
agnibilekrou,7.13,72.16,97,88,4.07
riacho de santana,-13.61,65.59,75,0,9.22
awjilah,29.14,76.12,60,0,11.68
pahrump,36.21,97.05,16,1,16.11
salinopolis,-0.61,77.92,100,76,11.12
shumikhinskiy,58.74,68.2,84,64,4.29
prince rupert,54.32,62.6,82,75,4.7
airai,-8.93,80.89,48,8,2.84
talaya,55.79,62.89,75,0,11.23
boddam,57.47,51.8,93,32,2.24
sulangan,11.14,85.75,100,20,9.55
valparaiso,41.47,70.43,68,5,3.36
faanui,-16.48,80.26,100,88,8.43
beringovskiy,63.05,50.83,97,56,16.6
nishihara,35.74,84.15,70,75,18.34
evensk,61.92,58.21,79,48,5.53
ostrovnoy,68.05,46.6,83,0,14.36
bytow,54.17,57.2,87,20,5.82
san jose de guanipa,8.89,78.82,76,20,11.34
chicama,-7.84,64.4,88,90,4.7
solnechnyy,50.72,73.6,74,64,3.18
klyuchi,52.25,69.01,49,80,11.68
geraldton,49.72,73.4,56,20,20.8
mount gambier,-37.83,54.88,82,92,9.66
kushiro,43.11,57.2,82,75,4.7
fredericksburg,30.28,77.04,73,1,4.97
faya,18.39,67.06,64,5,6.76
pangoa,-12.12,63.43,96,20,1.72
baiyin,36.55,60.8,93,90,2.24
vila franca do campo,37.72,69.8,88,20,3.36
klaksvik,62.23,50.0,87,92,17.22
nouadhibou,20.93,69.8,77,0,3.62
buala,-8.15,78.55,100,80,10.89
agadir,30.42,64.4,88,0,2.24
sao filipe,14.9,73.69,100,0,8.77
torbat-e jam,35.24,78.1,27,0,4.63
necochea,-38.55,46.33,100,92,7.99
magistralnyy,56.17,51.1,100,92,7.99
kommunar,59.62,59.0,93,40,6.71
hirara,24.8,84.2,79,75,10.29
lorengau,-2.02,82.42,100,68,10.67
goundam,16.42,84.4,53,20,8.99
puerto madryn,-42.77,42.91,100,56,7.2
port-gentil,-0.72,74.77,100,80,9.44
eureka,40.8,62.6,77,40,13.87
mehamn,71.03,47.05,98,92,3.29
baijiantan,45.63,87.82,23,0,5.75
sinnamary,5.38,81.43,94,64,13.69
zatreni,44.77,66.2,93,40,3.36
hobyo,5.35,76.66,75,8,20.96
amberley,-43.15,60.8,59,56,18.34
abancay,-13.64,30.76,93,0,1.39
whitehorse,60.72,69.8,49,75,8.05
onguday,50.75,58.93,54,88,2.28
mugumu,-1.84,51.82,91,0,4.07
vaitape,-16.52,80.26,100,0,11.01
bandarbeyla,9.49,79.72,77,36,25.43
kalabo,-15.0,55.33,72,76,9.44
san patricio,-26.98,58.84,92,100,5.41
archidona,-0.91,59.02,95,76,2.62
vestmannaeyjar,63.44,47.5,99,88,11.79
namibe,-15.19,69.19,100,0,7.43
ngara,-2.51,48.85,80,0,2.51
aasiaat,68.71,43.18,93,68,3.06
iztapa,13.93,82.87,94,56,3.29
jalu,29.03,76.66,56,0,13.8
auki,12.18,73.78,92,92,6.53
obeliai,55.94,57.85,86,44,12.91
iskateley,67.68,48.31,71,0,20.29
moranbah,-22.0,62.98,35,0,14.58
tamandare,-8.28,77.2,71,0,3.62
kishi,9.08,74.68,93,80,4.74
churapcha,62.0,89.89,29,0,2.62
talnakh,69.49,52.45,73,92,11.68
teguise,29.06,68.29,97,0,15.82
byron bay,-28.65,64.4,23,0,4.7
nigel,-26.43,27.16,86,24,2.73
bondoukou,8.04,73.87,95,92,4.41
rupert,42.62,90.1,19,1,3.36
lethem,3.38,72.97,95,32,2.84
mahibadhoo,3.78,82.69,100,92,17.27
miranda de ebro,42.69,64.71,93,75,4.7
emba,34.81,73.63,68,75,8.05
skvyra,49.73,59.38,87,0,2.95
severo-kurilsk,50.68,53.26,83,0,5.64
shubarshi,48.59,83.32,48,44,7.43
pangnirtung,66.15,31.93,84,0,4.41
cayenne,4.94,75.2,100,0,8.99
sangar,63.92,82.69,26,0,6.64
ongole,15.51,76.03,96,92,11.79
nichinan,31.65,75.76,100,75,1.12
cabedelo,-6.97,73.4,88,75,3.36
kamiichi,36.7,77.0,78,75,8.05
domna,51.9,55.4,87,75,6.71
abu kamal,34.45,73.78,39,0,7.87
svetlaya,46.54,56.05,93,0,4.85
camacupa,-12.02,44.62,79,0,5.41
takoradi,4.89,72.7,100,68,3.4
oussouye,12.49,78.8,94,75,4.7
dukat,42.44,57.58,98,76,2.17
christchurch,-43.53,60.8,59,80,18.34
sikandra rao,27.69,92.5,77,0,4.63
seoul,37.57,73.38,44,0,9.17
vysokogornyy,50.1,70.36,59,76,2.95
westport,53.8,59.38,97,76,6.42
makubetsu,42.84,57.2,76,75,2.24
bloomsburg,41.0,62.58,72,1,2.17
canchungo,12.07,78.8,94,40,7.87
lundazi,-12.29,53.17,93,0,6.2
shar,7.3,72.79,95,80,5.41
ilulissat,69.22,41.0,65,75,10.29
kanniyakumari,8.08,80.98,99,92,25.55
fortuna,38.18,73.42,83,0,5.82
chuy,-33.69,55.06,98,92,22.53
manado,1.49,93.2,49,20,2.24
tucuman,-17.17,49.48,82,0,1.39
linxia,35.6,55.78,95,88,3.06
nizhniy chir,48.36,72.61,69,0,6.08
bilibino,68.06,55.6,57,36,6.87
shellbrook,53.22,73.4,46,20,12.75
sechura,-5.56,67.03,90,32,10.67
gumla,23.04,81.16,94,32,4.85
ampanihy,-24.69,62.98,94,88,10.33
beaufort,5.36,83.34,88,75,3.36
mogadouro,41.34,57.22,90,0,3.62
atikokan,48.76,78.82,63,64,12.24
san andres,13.32,81.52,100,68,20.07
monrovia,6.33,74.05,95,64,2.95
banjar,-7.37,78.73,66,32,3.51
paamiut,61.99,40.48,92,92,4.52
bauru,-22.32,63.61,63,8,5.64
dhidhdhoo,6.88,82.15,100,92,18.39
half moon bay,37.46,79.95,41,40,21.92
ocher,57.89,69.1,69,36,6.98
kahului,20.89,79.23,69,75,19.46
corrente,-17.45,51.73,73,0,3.4
mount isa,-20.73,62.6,29,0,17.22
port hardy,50.7,60.8,87,75,5.82
amazar,53.86,57.76,97,92,10.33
weinan,34.5,73.4,88,90,4.47
ceres,-29.88,44.26,86,88,10.67
salalah,17.01,80.6,88,90,9.17
boden,65.83,53.6,76,0,10.29
coahuayana,18.62,70.72,74,24,1.95
freeport,26.54,84.4,95,12,8.32
shahr-e kord,32.33,59.0,44,0,4.7
vondrozo,-22.82,59.83,92,88,3.74
qandala,11.47,83.68,57,88,6.64
san fernando,-34.58,51.8,93,44,4.7
port hedland,-20.31,73.4,23,0,19.46
dwarka,28.58,86.0,70,0,4.52
shenzhen,22.54,87.17,70,20,13.87
srednekolymsk,67.46,70.63,43,0,5.53
cooma,-36.24,50.02,59,0,17.38
novo aripuana,-5.12,78.91,75,0,2.73
kashira,54.84,59.0,87,0,4.47
laguna,27.52,96.8,30,90,8.05
yongan,39.7,66.76,92,92,3.51
tateyama,36.66,77.0,78,75,8.05
muli,22.62,86.02,71,36,11.01
balkhash,46.84,78.55,72,0,4.97
dubna,56.76,60.46,96,92,4.41
belomorsk,64.52,52.54,97,92,10.67
mildura,-34.18,58.75,72,64,17.05
varkaus,62.32,57.2,100,90,4.7
neuquen,-38.95,44.6,87,75,3.36
mezen,65.85,57.67,87,36,6.98
berlevag,70.86,47.41,91,100,3.51
zhanaozen,43.35,82.96,50,92,13.69
karratha,-20.74,74.5,18,0,15.03
russellville,35.28,84.2,62,1,4.7
lagoa,37.14,75.2,60,0,2.24
abnub,27.27,80.6,44,0,2.24
praya,-8.71,80.6,69,75,11.41
goba,7.01,47.05,90,20,2.84
parangan,5.08,84.22,100,32,13.02
victor harbor,-35.55,57.2,71,75,16.11
yeppoon,-23.13,64.4,27,0,14.99
marsa matruh,31.35,75.2,88,75,6.93
eyrarbakki,63.86,48.2,70,75,9.17
west wendover,40.74,96.8,8,1,5.82
north myrtle beach,33.83,74.5,88,20,9.17
guozhen,29.3,79.27,100,92,4.41
chapais,49.78,71.6,43,20,6.93
katobu,-4.94,82.78,88,20,5.41
vagay,57.94,74.68,65,20,7.43
carinhanha,-14.3,66.76,72,0,9.89
opuwo,-18.06,40.48,76,8,5.41
rangkasbitung,-6.35,84.2,62,20,5.82
katangli,51.71,54.79,80,36,4.74
morondava,-20.3,67.66,86,0,9.1
zeya,53.74,70.63,64,64,4.41
shelburne,44.08,69.89,52,1,2.24
rincon,32.3,74.43,94,75,9.17
mattoon,39.48,71.26,68,1,9.22
bilma,18.69,83.5,17,48,9.66
lazaro cardenas,28.39,87.8,31,40,19.46
kieta,-6.22,75.49,100,92,3.96
zhongshu,24.52,67.57,100,92,3.18
lesogorsk,56.05,60.28,78,32,3.4
abha,18.22,67.05,64,5,0.27
carauari,-4.88,76.93,87,24,2.73
ilebo,-4.33,69.73,80,0,2.17
sitka,37.17,80.35,52,8,8.1
manhattan beach,33.9,90.46,48,40,10.29
caen,49.18,59.68,87,0,4.7
pedasi,7.53,80.35,100,80,9.1
kailua,21.39,80.22,65,75,10.29
baixa grande,-11.96,63.25,95,0,3.62
mecca,21.43,91.4,27,0,2.73
aurangabad,19.87,73.78,94,92,12.01
meadow lake,54.13,63.61,66,8,12.57
mahanoro,-19.9,62.71,100,80,2.84
ahuimanu,21.44,80.24,94,90,9.17
pisco,-13.71,64.4,77,90,9.17
kolpashevo,58.31,65.41,62,0,7.65
mbanza-ngungu,-5.25,65.23,80,0,2.62
upata,8.02,71.26,95,32,3.96
baiao,-2.79,78.46,80,36,4.74
high prairie,55.43,50.74,97,76,5.41
racine,42.73,72.37,38,1,3.36
mianyang,31.46,78.37,99,92,5.64
bathsheba,13.22,80.6,78,75,20.8
saint-augustin,44.83,68.81,73,0,4.7
savannakhet,16.57,77.0,88,75,2.24
abong mbang,3.98,65.77,98,56,2.39
guerrero negro,27.97,77.83,40,12,5.97
wanning,48.64,59.0,77,75,5.82
powell river,49.84,67.35,60,75,9.17
bitung,1.44,93.2,49,20,2.24
taoudenni,22.68,81.79,15,80,2.17
kruisfontein,-34.0,53.8,91,0,4.07
moose factory,51.26,80.6,44,75,9.17
teguldet,57.31,63.7,61,0,4.74
umm lajj,25.02,76.75,82,0,3.74
puri,-7.54,83.59,53,0,5.75
altagracia de orituco,9.86,74.77,85,20,7.2
manzil salim,35.86,75.2,36,40,2.62
dudinka,69.41,62.26,56,88,15.14
ossora,59.24,56.68,87,0,10.67
socorro,13.06,77.2,100,92,3.4
mariental,52.28,51.37,90,0,8.88
houma,35.63,76.12,79,92,3.18
turiacu,-5.01,80.53,63,20,5.75
venado tuerto,-33.75,48.85,94,88,10.78
gigmoto,13.78,86.56,93,32,7.65
vitim,59.44,53.08,100,92,5.41
gualaquiza,-3.4,60.91,100,92,0.72
kulhudhuffushi,6.62,82.15,100,92,18.39
bayan,47.25,60.28,49,0,6.76
camargo,27.69,79.45,34,88,7.09
kloulklubed,7.04,77.68,88,90,11.41
the valley,18.22,82.4,69,40,17.22
bondo,3.81,69.01,97,20,1.61
penzberg,47.75,56.79,87,20,3.36
aleksandrov gay,50.14,76.12,49,0,4.63
mopti,14.49,79.0,79,0,8.88
egvekinot,66.32,46.24,88,92,11.9
kurumkan,54.33,46.33,100,92,2.17
ureki,42.0,67.91,88,75,9.17
serta,46.01,62.17,68,0,4.7
codrington,-28.95,60.82,54,0,4.74
sorland,67.67,50.92,96,64,17.83
simplicio mendes,-7.85,81.16,41,44,12.12
bafilo,9.35,70.63,95,8,2.73
waddan,29.16,64.33,76,0,4.07
pueblo nuevo,23.99,82.69,73,92,2.84
